DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/03/2021,I3,543.0,1,WARA,WARA1,Injector
02/04/2021,I3,209.129,1,WARA,WARA1,Injector
02/05/2021,I3,234.0,1,WARA,WARA1,Injector
02/06/2021,I3,114.0,1,WARA,WARA1,Injector
02/07/2021,I3,252.0,1,WARA,WARA1,Injector
02/08/2021,I3,285.0,1,WARA,WARA1,Injector
02/09/2021,I3,411.484,1,WARA,WARA1,Injector
02/10/2021,I3,216.0,1,WARA,WARA1,Injector
02/11/2021,I3,547.548,1,WARA,WARA1,Injector
02/12/2021,I3,654.0,1,WARA,WARA1,Injector
02/01/2022,I3,926.0,1,WARA,WARA1,Injector
02/02/2022,I3,891.29,1,WARA,WARA1,Injector
02/03/2022,I3,823.0,1,WARA,WARA1,Injector
02/04/2022,I3,876.226,1,WARA,WARA1,Injector
02/05/2022,I3,692.0,1,WARA,WARA1,Injector
02/06/2022,I3,737.484,1,WARA,WARA1,Injector
02/07/2022,I3,984.0,1,WARA,WARA1,Injector
02/08/2022,I3,1067.23,1,WARA,WARA1,Injector
02/09/2022,I3,1022.35,1,WARA,WARA1,Injector
02/10/2022,I3,1003.0,1,WARA,WARA1,Injector
02/11/2022,I3,855.548,1,WARA,WARA1,Injector
02/12/2022,I3,992.0,1,WARA,WARA1,Injector
02/01/2023,I3,1037.71,1,WARA,WARA1,Injector
02/02/2023,I3,1148.81,1,WARA,WARA1,Injector
02/03/2023,I3,1143.0,1,WARA,WARA1,Injector
02/04/2023,I3,1163.32,1,WARA,WARA1,Injector
02/05/2023,I3,1272.27,1,WARA,WARA1,Injector
02/06/2023,I3,1150.19,1,WARA,WARA1,Injector
02/07/2023,I3,1460.0,1,WARA,WARA1,Injector
02/08/2023,I3,1380.65,1,WARA,WARA1,Injector
02/09/2023,I3,1306.0,1,WARA,WARA1,Injector
02/10/2023,I3,1305.0,1,WARA,WARA1,Injector
02/11/2023,I3,1278.0,1,WARA,WARA1,Injector
02/12/2023,I3,1379.0,1,WARA,WARA1,Injector
31/12/2023,I3,1374.0,1,WARA,WARA1,Injector
02/12/2015,I4,0.0,1,WARA,WARA1,Injector
02/01/2016,I4,281.645,1,WARA,WARA1,Injector
02/02/2016,I4,629.516,1,WARA,WARA1,Injector
02/03/2016,I4,608.0,1,WARA,WARA1,Injector
02/04/2016,I4,570.0,1,WARA,WARA1,Injector
02/05/2016,I4,472.0,1,WARA,WARA1,Injector
02/06/2016,I4,375.0,1,WARA,WARA1,Injector
02/07/2016,I4,483.0,1,WARA,WARA1,Injector
02/08/2016,I4,509.0,1,WARA,WARA1,Injector
02/09/2016,I4,271.0,1,WARA,WARA1,Injector
02/10/2016,I4,601.367,1,WARA,WARA1,Injector
02/11/2016,I4,611.581,1,WARA,WARA1,Injector
02/12/2016,I4,591.3,1,WARA,WARA1,Injector
02/01/2017,I4,373.581,1,WARA,WARA1,Injector
02/02/2017,I4,547.194,1,WARA,WARA1,Injector
02/03/2017,I4,637.0,1,WARA,WARA1,Injector
02/04/2017,I4,575.065,1,WARA,WARA1,Injector
02/05/2017,I4,521.0,1,WARA,WARA1,Injector
02/06/2017,I4,603.0,1,WARA,WARA1,Injector
